,total_confirmed,total_recoveries,total_deaths,new_confirmed,new_recoveries,new_deaths
2020/1/10,41,2,1,0,0,0
2020/1/11,41,6,1,0,4,0
2020/1/12,41,7,1,0,1,0
2020/1/13,41,7,1,0,0,0
2020/1/14,41,7,1,0,0,0
2020/1/15,41,12,2,0,5,1
2020/1/16,45,15,2,4,3,0
2020/1/17,62,19,2,17,4,0
2020/1/18,121,24,3,59,5,1
2020/1/19,198,25,3,77,1,0
2020/1/20,291,25,3,77,0,0
2020/1/21,440,25,9,149,0,3
2020/1/22,574,28,17,131,3,8
2020/1/23,835,34,25,261,6,8
2020/1/24,1297,38,41,449,3,16
2020/1/25,1985,49,56,693,11,15
2020/1/26,2760,51,80,775,2,24
2020/1/27,4535,60,106,1775,9,26
2020/1/28,5997,103,132,1462,43,26
2020/1/29,7736,124,170,1739,21,38
2020/1/30,9720,171,213,1985,47,43
2020/1/31,11821,243,259,2104,72,46
2020/2/1,14411,328,304,2591,85,45
2020/2/2,17238,457,361,2831,147,57
2020/2/3,20471,632,425,3235,157,64
2020/2/4,24363,892,491,3893,262,66
2020/2/5,28060,1153,564,3697,261,73
2020/2/6,31211,1542,637,3151,389,73
2020/2/7,34598,2052,723,3401,510,86
2020/2/8,37251,2651,812,2657,600,89
2020/2/9,40235,3283,909,3073,632,97
2020/2/10,42708,3998,1017,2484,716,108
2020/2/11,44730,4742,1114,2022,744,97
2020/2/12,59882,5915,1368,15153,1173,254
2020/2/13,63932,6728,1381,5093,1082,121
2020/2/14,66576,8101,1524,2646,1373,143
2020/2/15,68584,9425,1666,2009,1324,142
2020/2/16,70635,10853,1772,2051,1428,106
2020/2/17,72528,12561,1870,1891,1701,98
